"box_id","address","value","creation_height","settlement_height","date"
"976e15da5e3421a2670a0c0e03beea2f511305d40d0fe864267e69fd08852e2a","9fCYfBpkHrfATcYnpscYGjeC39D14cw7qjrUYpxwXFThp1pt1SA",6220000,55684,55686,"2019-09-16 15:41:16+00"
"2708a6f5a7919103042ea18d79fe992fdf525740b41b6c6f951bc6f40384b795","9g2bnbYJnURYZaEXgPdAsEhRfovcxE2HuCMv49Ar4gRgtVptWcM",5000000000,47461,47463,"2019-09-05 12:55:00+00"
"684afd86097c41a0e7b26a6d42416867a7321a8488a21d34520da6beaa834355","9g2bnbYJnURYZaEXgPdAsEhRfovcxE2HuCMv49Ar4gRgtVptWcM",2000000000,47476,47479,"2019-09-05 13:20:40+00"
"70c125cf9858c3b4adcb138f0c991125c2dc759ea1f7f789126508b969f51f63","9fwcDL7zF3TAwgZV5KuESbmxP1kcHbULXaPLURP3NpUpj2whJwv",60000000000,47998,48000,"2019-09-06 07:18:00+00"
"08d624327343ff915e8d3455f0480e28a60fcea3a5dee975d26631b31325ebb8","9gBk8Wjm2oMjHbigeDuqCA1uDNFyJ1VoHsnYnWunet4oWZAjLgu",200000,128239,128242,"2019-12-26 13:53:23+00"
"3d2bda04a452576e1b9683f0e40327f3c1649d67ea22cea9b800dc21e97a109c","9gBk8Wjm2oMjHbigeDuqCA1uDNFyJ1VoHsnYnWunet4oWZAjLgu",100000,128245,128247,"2019-12-26 14:02:49+00"
"bb9d2b1be96b374810eef09d2d1c2dadb8b26414d335245393649f5fc4e3bfa8","9gBk8Wjm2oMjHbigeDuqCA1uDNFyJ1VoHsnYnWunet4oWZAjLgu",200000,128233,128236,"2019-12-26 13:33:26+00"
"d1f3e65ddb56e636a421608ff55660ccf562450c334b241536f28637e383c348","9gBk8Wjm2oMjHbigeDuqCA1uDNFyJ1VoHsnYnWunet4oWZAjLgu",100000,128883,128885,"2019-12-27 11:04:51+00"
"30f60efcdbc001668d702b5080ba3a1c7bfc0d646199e75ef1690caaf676a2f3","9hQXH4h4EngQZgjZxTMWwZyPgzLqbjE1YJWNnFsnMT1oqkpNr7e",189500000,17333,17335,"2019-07-25 10:50:51+00"
"0bc4ebb8c6f393e9f3be369597fc85f55ee11de012c5f29cc5a193dd19ffbdfd","9f2jcHgXDTqaSbpVcz18EoURdwXfLfJmKa3rJ2vQCtPqL3Uz23T",8437400000,48134,48136,"2019-09-06 11:28:06+00"
"04cc109753b5e47f5b44f4a7fab87dac369b6b0f2e1a158077079b8cbe754883","9gmivCMDsmfiSeg6SWBvXSVwtobuEKBn6aVnJTA4SnN4TZgNYH9",99000000,47500,47502,"2019-09-05 14:02:53+00"
"c0ce2f25460ac6bd4cb391c5cabc118a0490898a340e30d2f7627cb00cbae3f4","9fQyGLRHWfHY3t1aCHJXE4Wq2mUhAts6bngmJ19ZBy2iS4BwksT",1000000000,56952,56954,"2019-09-18 10:09:30+00"
"b8a6a4b5ed10af873ce56f4e65feb99a600b82d04361291c0990545c0ae952e5","GB3kh2izpWKvyZfMboQwsEscjPaZcz9WrzGqZB4ZrkzRreiFMV6HZYWXGMK3rqCjDCoPgWGNzfnYSUhivW4a1VRYPE7uZXwKnBcqWcRkiuTx6QW55EcPcWeELUsumwdtKoFtWY583nWnKZff",10000000000,41942,41944,"2019-08-28 10:52:39+00"
"b4ec8c3a75b9601e6155e88e54927c6a2d7c7633259fb9d3c32f85053b310fd7","9hEE5WbJdaR337Q5ereCpfbVzyv1cozPbgQpVZ4iRe3nrYfWH5q",1487900000,46640,46642,"2019-09-04 07:51:36+00"
"7908a6f1eb3f39d3fd7656a8fbf82e9ea8d01a09d04b9d02a30924bc65525591","88dhgzEuTXaPyyM4rt6HU4Lkv6sW7hrsSzUb7N8dKfR133ohHAC8hUshfXrwnP2b2VUK9vhCsY5AZJk6",67500000000,63476,63476,"2019-09-27 19:37:33+00"
"bc2e78c16e19126d27f20c662afed6f354f1c2d5947d9994a0d668d5ee137bff","9fMPy1XY3GW4T6t3LjYofqmzER6x9cV21n5UVJTWmma4Y9mAW6c",1000000,96592,96594,"2019-11-12 12:26:31+00"
"0e01b19fdf280257791134e9513c51948b31284e9d52ba879fa4a05a07566fb2","9iDwgh2R6reuNNKhkQ1ijTJB7pJFyaa6ooTSgU4RK6G4S1c6gbg",100000,87918,87920,"2019-10-31 13:40:53+00"
"26d6e08027e005270b38e5c5f4a73ffdb6d65a3289efb51ac37f98ad395d887c","9hHDQb26AjnJUXxcqriqY1mnhpLuUeC81C4pggtK7tupr92Ea1K",10000000000,113335,113337,"2019-12-05 20:08:35+00"
"b50ed8c2953fd33b52af816c4caa63ec5b6d236a262a5a192534695c3478da78","9hHDQb26AjnJUXxcqriqY1mnhpLuUeC81C4pggtK7tupr92Ea1K",1000000,123131,123133,"2019-12-19 12:11:43+00"
"e050a3af38241ce444c34eb25c0ab880674fc23a0e63632633ae14f547141c37","9hHDQb26AjnJUXxcqriqY1mnhpLuUeC81C4pggtK7tupr92Ea1K",1000000,123135,123137,"2019-12-19 12:19:48+00"
"4ed29111b2368abcd94cd66184cfdefdc5c675a9788f78ef5cd34b34a22a3375","9iCxAizK2qCbFLVWgwj3QNY889FtUu5JFya8S8FaXupYkRzoZU5",4897100000,121498,122220,"2019-12-18 10:55:11+00"
"ac40bd42de81206e833928c8e93d532437033dc958ebba009b85e39f1986ef1a","9edr8fSumWNxQGJCKCmmwJKCTYpvEiQB8TahQkaXtsNkRKDpsXR",4000000,121505,122227,"2019-12-18 11:04:15+00"
"24cbf5b8bbecbb81f6bd36ef9a13255e55e72dbb781e8bdddee1ae02c9166fda","9g9XmMxvrSTCadjfomjR3wRFxq1AjCdvg2WepitY8J9dn5noe9G",1100000,121682,122404,"2019-12-18 15:53:08+00"
"4fe34aaeca9a87afa88b854ed5ff114cffa01a2bf1b0e948c550398f8006c757","88dhgzEuTXaRhf6vqUspYKGc1PHhXYCfXhFFoCeibwgueZjWdPu3hCU78Rg4wBF8iLhZ8aoXPDQDGBpM",67500000000,4159,4159,"2019-07-03 21:10:27+00"
"4df367b6774ca12cb248a5b950c3f489e09fa6ba377310cdb1f50f933d6b75f0","9gvntmamtFBmkULfwzmX3iLdF4PPQu8AyPcoucq8FgRRu7EajSW",4900000000,6666,6668,"2019-07-08 21:24:31+00"
"63dec5ac9e056e7fa67581497b00a444ee5069f2e7a99bc5b618aad5f14ada8f","9fy5cSgKXUjjVpBT9oeFb4241CeAQtapMwkMS7myBiczFc1Q7hb",8000000,5932,5934,"2019-07-07 10:48:09+00"
"18fbb72a7c69a6c4c63464a7a347bc4819ebc68b86186190f81f0fa3e854b9ca","9gLhiPioW7RYoc9o5Ypcid4YZCQxuxR61J27bRWCTUBABXpzzyj",100000000000,4052,6594,"2019-07-08 18:14:54+00"
"468e06105401fc144d6906160c7529fb18d6659b73615ff59784d7ceb734ab62","9fbgkanmEpJu1CBxLGThz6WxwRh6hCiScHfbNkcCmyysiumCXrZ",2000000,8104,8106,"2019-07-11 16:13:32+00"
"c163c7ec19a45795e2423f69a7e81d7bee787f25aa6640f53b612ced7bec9494","9hcCHABYUknweQrsQtg2bpAK94Xq5javJndqvoNFckgLotu5sax",3000000,8104,8106,"2019-07-11 16:13:32+00"
"40123054bd5ac99d9acbb1c555857bd66c79be938cafd708f3e500a1a6740825","9gKvHQriAWt4b9v5dKjJ7Pb2ZaotqWEJZtnESwBZmTaRcDBCGxB",268000000,30445,30447,"2019-08-12 06:20:47+00"
"f960da934b83c256bc778339f7eab031c9b08aaaa6a76ac004f6b7176e37f4fd","9fbELaPk9nJzK2kjqY2yVtU1p51f8D2WgHc9mdnoetocM7NT5Z6",198000000,30474,30476,"2019-08-12 07:20:31+00"
"abc07a8f84a303fa589c340508a93832a41ba89ea9530915296d531c57d1e471","9hp52dWJkUNMm5aHm5mNg8wNyhHCZk7QaWVC5iN1nxjbL2k7jLs",100000000,30655,30657,"2019-08-12 13:37:37+00"
"4dafb026bdd48c1bedc21cde6af125f336f4d13cb59067f8df12ee76e6248921","9hp52dWJkUNMm5aHm5mNg8wNyhHCZk7QaWVC5iN1nxjbL2k7jLs",100000000,31958,31960,"2019-08-14 11:41:52+00"
"98134ec96566fefa16dd6a6d20facce9789106feca17fe42dcacf1a340474627","9fyRnsRR3WMALB1ParTv8a5kweZZc8YzLMmtchRHoCz9YFUgcCY",790300000,32539,32541,"2019-08-15 07:28:27+00"
"09c1af4fa0d11ae5c19a5470296f875b2aea34789722b9f4c9c2557d0f5b8a7d","9iHqeg9Kvo1FMJhCcDfZKxLxpAzdWE9bjLB6xBYwXGxhTBDxxwF",1017000000,63694,73013,"2019-10-10 20:28:17+00"
"9987cd30d0039408980bf56a2f427d48d3c0daa50bcfa3071ece4c56e9052299","9fCYfBpkHrfATcYnpscYGjeC39D14cw7qjrUYpxwXFThp1pt1SA",100000,60603,60605,"2019-09-23 12:56:39+00"
"ecb2a53d48cc55ad702448c28f885c4cdc93ea98058bad378062855719613ac2","88dhgzEuTXaPyyM4rt6HU4Lkv6sW7hrsSzUb7N8dKfR133ohHAC8hUshfXrwnP2b2VUK9vhCsY5AZJk6",67500000000,94093,94093,"2019-11-09 00:50:23+00"
"270f80d5e2719df2e11bd0406dfe8e1d5ae9adac8f0a3b99ea32c695b849bb9c","9g5LodX3YqeCnwGQbAfYZpbQnAaLMF1vyNd9EHxH4fCWb7uRAip",499000000,82007,82010,"2019-10-23 09:06:12+00"
"777e0d324ef76d8d54365571760787025c5ee2db946460346ec0a982297a4cc5","9gBk8Wjm2oMjHbigeDuqCA1uDNFyJ1VoHsnYnWunet4oWZAjLgu",100000,131082,131084,"2019-12-30 10:45:52+00"
"a456c49d61dd3043320edfd2fbce734e4cf902f72a188fb518841d8f4acc5647","88dhgzEuTXaRqsp2nZs1uBNYedZFyCwTp7hYjWk23xt1pysyA1Roe5XawKRa7Y3cf6x12vErz6Afsbuw",67500000000,68675,68675,"2019-10-04 14:25:12+00"
"3034f1ec24081a243db7725b922fc12593a2c9f77df5ee1f676d6ab7838de557","9ggZEc257dggXFWAPxDJGNFd1F4orGknUMsAXfrnceFvzHF4apg",521000000000,93556,93558,"2019-11-08 08:36:47+00"
"ba0f116ece6658e684abb9935c2d0bc19790650bd2a8c759a2b19b6b3b5c5d9c","9hEK8epXkHFz6a55sL15fvnhb9o4Y7MB8QLEeRWr1ouXN7aFd34",156881400000,124692,124694,"2019-12-21 13:04:13+00"
"f43ed8a79cdd860ae9d2bae6a04b76ee44728427cb29969a6882e5c284a66a19","9gBk8Wjm2oMjHbigeDuqCA1uDNFyJ1VoHsnYnWunet4oWZAjLgu",100000,128877,128879,"2019-12-27 10:55:11+00"
"d4a129e3f871ba4364909b875d73d14312e20b2602366f674424020becff23bf","9gBk8Wjm2oMjHbigeDuqCA1uDNFyJ1VoHsnYnWunet4oWZAjLgu",100000,128139,128142,"2019-12-26 10:28:41+00"
"535d2691d8c76cf16ed1541338911f4f0500d5e4155b9a154fe65904e1dc31d4","9g2bnbYJnURYZaEXgPdAsEhRfovcxE2HuCMv49Ar4gRgtVptWcM",1000000,63409,63411,"2019-09-27 17:01:27+00"
"f0082753a871191c7a8da485add1c56d5277de741e3445d61fa0183b402820b9","9giTRQvSaAjfSGXZgSV1jE6JyNPv8kYdGmxn3qDYT4cF6oTEumS",53280,36868,36880,"2019-08-21 18:51:32+00"
"27c413bdffaf9dd17c30aa747d2ab70d80624be83b05d3ef301d233581107a7a","9fyfJQUa2kNMByaNu1NwvXzuwUVAd2HUYYBFw3CMX2aSQNUCS44",191000000,54346,54348,"2019-09-14 17:41:16+00"
"7777ead57826bd2df1921a6f6ba968c3d0030cdb76c31bfed6564e4900e7c496","9gb2d7R94AV2sUgoGW9HWpAQzNhvp4h9fYQfu51omUbJpHxPZms",299900000000,54449,54451,"2019-09-14 20:52:08+00"
"3dfe1e55b089cc1bf0a2f91d44602bc065a6493688c0b1bd7cf8f45e8dc0a3d9","9gBSqNT9LH9WjvWbyqEvFirMbYp4nfGHnoWdceKGu45AKiya3Fq",40382350000,54917,54919,"2019-09-15 12:47:30+00"
"d803c85bd10baf11da9d3a2ba691c629bb32aa6df4a9c7091896b4ed556a56a6","9hsz7Vu9dHMcvkqKVNzkkyxX1gkiaL8RgM6o1eCF4cdx8CGsG65",1497000000,40565,95241,"2019-11-10 16:13:43+00"
"6fcba2dced659f139f039ef91ac57a77f6625ba3a5b2027edde7a8733f507d4d","9fjo2FEBvkpJkq7TB5eaqcT3zUcokDRSL4JaGpEonLr9cS1JZZ2",1997900000,106497,106499,"2019-11-26 12:08:29+00"
"be09c953b7f8b2117d0016ed188f33f15144c4478e96cbd22cf1b44acb78ad6c","9fqPbqtTbp9xeBsiZGwqJtgcigSMkjBAJdDmQueviGKeagnU42n",1000000,111673,121294,"2019-12-17 09:34:49+00"
