contract,amount_erg,amount_usd,address
 ,0.03,0.04392,edSMoYH15jZjJLm1rjYwWgKD1C9ZZeWTk8RovS1QZETrSj5krXSzDwT1oSV3DqEdetG9NXz7BQ1uYqV1Lq8UH8yHXQc73rwHz9SortL9hMCsde2465vCAPZBJ6mzS1hVBsFY69Eeqg67vV52QAaNPtcSqtGCXXYiXKYCTsoY8xMeM5ogTMG1aWVbi19mjKacngd3FxRG6YkRQQ5HDbGsVXQp8AgyKeomup5HTJVz7h4QE2KiasSnRsKKRUhZXpxJbxZdJufi7Qo6iZK78c6iK1LxXZS8deB4HmThdmqWJ2XzXMfFugdW9Sg7aYxsoW6sciY7bNwY2GzJbePy8xqb8d2xNRjRcHwfVzFXVYh2znZwyq9QVFdpEqpVSgG38b3RimNUPBEFkfzAQtymKV9Up6jrAztS3wSRM9F4DAcFKqVM3unPvUgSQxHL3yB9enF6xbZeVET6MupnFarzwMoSUtNY3WRVE
 ,0.03,0.04392,Fvc275Xi2nzz5tLaRD8UzVzcqNe6FafTWXZEj5CpLnXKUAgyfvsyReQEgju1Uarm3XBWgBPHVAy84AXRJyALmsPNKYVxMzrF1sLNeEBzTeS26qmqkPGj9ZYLgKfT8HqjXinRicm62cGzCdbJsr6EHA5jA5RZt8Vp4QP6AETn4R3oVYcsoVrW2XoDmD2YwWivantieGYCuGXeryXdrjDkbHgCCs3qhmA3xCBmMqFup1KCNAaspcU2FZoWNgfLzWGQNudfokafUb2tqbC763saMUuaZYBMTTPKt4rHcfCaHvdfVpwfejivTEBYfwd61zeXnocZR948DHTrvCn6dtSS9adgJRvWYfMUv21xKtfKFtzYh8orus7uqfph17RhhqXvXGKvm1XNefdW84NNkpEjEH4nTNVtfsnasyXBRYizkd9cLGgYnmg5JeSddBBp9Nyjo91qNuS971KmhoEUn5hGGLbXgz8GiaM9835uPw5geNVNQ5Uh1v4a8PVTkHDD1sbi1cNgsfus1PU17dcwDqGaftLP2FLMJ6tvKrngMbybswm1z198ntZ6JuSqpei2DfvE6wgHVfYJSpJiUKaZNMxi4YAUVaydX38xajsP3E6jP8p3SHkrygWZGdPhmMRu2oFvujXDrStYgzHMG2sbLY4SX5xx96vgLJjDgLSrY41VuByXWjAAAKGKqiwJ93zFzHiVPm7tgRKayTNLAU3ZrWgnyJXQU6gyLwxc7FG5uhNcYvLaZ6sZ99xyUnTa4b9VNv9wGgoc6BbWHFjT9upHKxEhCT3g9GQEYY9nXQ6iGjJ4RP8as4c5nMz8gEWFoDiENLtJTD48MPXFUZVGZSL3ZQxN9LYhd34QZC9ijPCT4Yiu8Fwg
 ,0.03,0.04392,PViw4hwsXQpfBQru7eJ9dSPSdLF99LkJTSnkeVbpNyWVao8h13m5qoDqekrLtVaWozQc28GHkb1aNgdNGrMxCJnLuVn8zNuwCKa2t52G3fBEf35PzdLXMfB4JdD3pVGUpjUAr2pAqoFZfaew95Wa
 ,0.03,0.04392,vLTsjMemVGne3uK7uJwaRxNcAa4v7G9VWsYiCXZBjgxbXMh3zkSZVNnBAf6iVKhHSsXcJy2e3mXfL4WBfPni25eLp51QeDdHnFK8UCwNb8uMB5Z6jU63BkAcxrQyEqqux1Da9u1SP3Jp9YNVq8aYnqH7C4T5EBG9qxB7FYYCDCAeZcMqpZg8U6EzC7kM4xpdcDxtUYBwiFvjpBKLT9e6GDQzA9RGXEEvsGrnBNFZUm5QfiV8Fx3eciSK93oTySHXknAe8FsunboyBneCiF9QZ1o6e2isgpXHWxr1MYsdripVYcvnzqFn4weFJiqrhLeKwemFHdW6Kd6iDgFHtPFkTFVm6dZ9PiYwygCjGVESKv8JdozzEgcDBQzYzqjLzZVEaytYwBQJPkhVwnFKV8WttqhsXa7giJYs6shjLwtY9oTDMZE7UpV7BEEtXMn6EuuFwphvfXK2tNMcfJRU4Le5CvdirBkRVY2cc9DX45VE1XrngegLxFuat5vaTWEs2ZtEu7PZ2q71SJKjfD8Dmn8LR2xDo
 ,0.029,0.042456,2pZPozJGUsuSbrYWmVwJGbDcAo8CATX9gVqoHzqvbN6g89cZb6kGAY4sThqmMTy71UhsxtLspzmCBivfDL818Jdj1pVA1DZJX1siAtxxchdu3htEHuLb9U9qg37J5oSqz2cRbEtXfPmMf7yMsVSjT3c78KkGckH6a7weYwSR2W1dCge23HdQHNmvfyk8VbTPSdN5oKNe1mEndouaPcEicozZ2ocdsRTTuaPVJjunVqQUpH6f7iYKd272SC8q19WGt4MZhVwM72EqJu2ef2VJ2as7KgS2tGPKELfHAg9zbyBnuuCQUN2z1LREk7HMNsiDeos2cVmkwLowig35R7hrZbCzkBB8egbAWCdB6vPwAuQ4HgFx392pzWTu99osvy8sJQYHRzRbmpBtAcswMGuyV5x5zrzoB754pegwfCMByv3akAfCmNo6xbSrSnmVytcJCzUgMAnYcJSdPRFhmVVxPJotrz3VsWHknhStSbJ1EtjqKYjuG1rFD8LEvegs6P4Qoz3v3ronDXC18cn6j7JNv4FtYyhHpikq9p8Amdj6R5jMdyF2xscThGBRB4JS8dY6JsUiEyGsx4D1Ad7derKxGKu3xhBGhzqmZ3tsd3Jfkw9myQzgBpSEdMXhuuEonjHzjCQ8229cNkG7FhmVh52PXyQp8fSxHZuaZDBdE7TPkD4bYLHsYoiWo7oBBekStceQS9v41GG9uzmeZNsvYJXKbhR5N1snDNEtvSuJh7m5PHhhFj7vv1xykQazgGF4pGfovMMnjQcJohK1yfLJghtWSUXXhiNnAHM5Erk8YLK1vTJ2f29nG1tZ1ykQ27nwxuo9EkBUdYxBMmYaHFyB2m1ckhn6toSfkhM3dGncLGp1cTu39B2dvmB9UqQr8g6s1mcXB
 ,0.029,0.042456,2WUqAxHy4AEc9kHF8S8L5hfUsDvhL2Y3v6vQMBMhtFNptD5Ns71N8ZWP62UbfoLEnhN4soCsGUdYe4QLz4rEnCBB2Bvq6xVT4mqPGuRLDq4eY8A9k9yeUSUiLjnwtZwDGy9fQppqq8iuBobVG8JLyAjubMik87h3XHfj1uhrS7sjRTsWTQs4m8DXnC1a2TTFHk8puc5pMiuWyBQQGposuePiKNbYQEJuimz6dn22J1vjbg2PCTfBZ7EVpg9QXk1vdRHTNgHxLj5pevTUuQS5BmrxgqHfYEB5wkTtQt2WKUpK8PLkw58WUZChTmb6g8bn8BrXSauDmimWdvP6PtYRWHBk7aZaXAkYG9pXUBm5jDmt3NP7LZAr3AH3RCdGnu4P46ho2WG93aaWayYmPdNcvs8z6eimyT4tkVwSbjbwCrC12s13QVL2M1voiJhx7rWiVH1mphLym1LxGyyja67Zeh4M411EC79F8qL5W2fhSNCdJ7zbQmycyHCUfctgSQYXbJaSBW5MeJrcyzmjEwHsfaTXdm776KtXnNRaSwQJRr9w9V3fqgok6gqXWLVnLAh338nCv2Tds7F2sbrzKm79zcfyLQ36dHgWiWKTzY7pEPVG9XnQ5pSzojFteeBruGSnGtbHaqe89sv3Es92dxbVLz5E7C8HaGR87qSuDWUSBvybjoERG997CvQiqrEhKFCn4XkC9S61qXRj2xk5Sb4DzVx3G2cm7uLRiEscjAQxSXwXQRbEDZHFoZMTiLiWE1kDmUAmp91GjK1VQSPWDqS51da2rtfqnHY29FM6FpPoUYnVAh9wNjbtkm33sYCZyRqEsp1kVnmzSWhxEE7pFvXouhH3XcQQEG8RywbCa1owTWt3Rh8A2ATRpjnqF77nFVWHM4uQPRToVxfgVKke6sKDqcWL8NqUB8ZfstP42Yfufh57gGqekcPTjRSsDERoyvd4mnqwBxSJ94ti9GHnwCZqSULKEKhTutYfAQuBgMjbRg1yibfX6FCzMFRnvq3frKFWemjPwttpTm2P7Styu3BFM6X1wo
 ,0.029,0.042456,721dZvzcdy6H13C4FwzwNv94aqpMpK9Uf4UraJjDMCKMvXJsANvQ9uGwxEnXJD4roQZe41NgSTF19upgRPVgqUE94yQKa7KZfvqgPucVsoQ7SnMXzU9rEJHa3DvFKVn9cd7hwBKrn9t6GFbeXxcfv9ae8XC53LZRm8NZLKRYyQRqaMgBXWnqn1u3cj2jJamqe7epFhMPp6B3kcLc7CTKna12AAm5beJNHUCM1DAQ6kU4je21YB3d3p5b5dU4SaE1S6HvUs2QJFsF3beU27VEKJZJK1uigJXzd687GZpzaB8S32KyYbTJRVCBSsHZgSLgZGazdGE8YhbaKEdu6yyAfBoWq7cYWMPDKkW7sKS5cqZG2nZc8cwspB3kPQyzKE3brpajyxxWGJCh29gxerWc7YT7PKea8swjqEU62qh9CQGytL1u618jE7S7vCzAAxwAMFQu4EtkGDj6uebWwFsmtvCZ7G2X78PoUkH52NXfLxxsgoxSUr6VcawqpbfYhr549gmoSazf5vBqQDVwm27xEHPQPnLY25k
 ,0.029,0.042456,oVRze5eD1UqNBLfecEyHP6f6JUXhK1LYK98noEDuRf2bkLfoKpgMLGGGCtALeqVf1AWWJQ7AzCf9pBJ4DCnDPi4vqFUGRvukMH3TY9en8cHktRxNZMx2fSqUCBTVbkucsybQ1UXDa42jHUu99PNU9EDurnUjUt1n8GPiuGGiLD4QYm7v5aKFecaojvzzS61CXfDfnFBLTc4dpKYaE4CoGX3kztNTHA1c6HwFc7SAACPTzt6VQt1ijPbP7DJ7b35pFgNxVyxJwcZWZeCHeyXueoHxmb9zbd7m7pHS36uJHoy9pnPnVhRPEtACKPYQwjJF7ryPrhHjYS1Yu7jeTWWUxqzQm4M8PTq67mwMbPLgNFLt4WwygQjgAUYw3sRBDwwn2Vbp2fo1ZyLL2rYh3mFk9V6jZTaB39LiGTVywENwWbBUtMQSwwfJf61TvvAKATytb8fb4r5v8a2FH9EHPEi539gCfvx2K1j6kK5gxRkUtWDvecNpeFyJSqGZep5jd1shdso8S3oRcVVbAtprcxN8iz19TkhWcYZqMZRDEKWD4e6J8R2nCsF83GLdeKJ9WbTtw1CKD1bCfFP7AAn75fZsUQw2t8byVPLRoMua3kD4SNKePCcZp7xXWkQXRhkEkFVZwtk1h2N19EinPGfXi3bbks1GcP7dq2DtAcPmsQvMwzs9X4hHuLLrsaFB3o8BN3zhx1yVBR9s9xdjc96TdCynurNgaSiLPqNhUSKR154cNJenFStKTkdi3f77q9w8GukZFUadGN2WyATvjPKdVMoMVAfmXZ56ysPUFetjp8V7nXoApMqErCEXs98wbkXgGjemKYtrr7phJaYmNj9nYot6R5riuDxv3hQWCYqaoJGBYGo6j8kVYXZaHLMjh5pYGXoRpSRYYWnUgHY8y1cogbVyc9M9jTTpw2WQuF27KpNCpi99DCeG
 ,0.028,0.040992,2BXvs3phe2odMJTNCSiMg6iALhzCeBB75v23v5dxEoh1kMeT13KffB3TQeRwKSGRLjVQQZmWKcq2mEQAw8dMyr6Fng4ssUQqmUtq7RsaQMsvb9PieqUZ4UWkFdK6KrXq4dQL7zo7kXBYrkRKaXRJ3TFWY9bdjNCa3aajqmm5i3XV3uMueywWxHbozQE6BoAoaajchQbLMBBegtXqPTvSfwFEm3Df2hDRdtcaFi8QPk9z56FfGDhkJWwXqoXh5tQJqpH2Eys9n5xyG3ysi44LyL7wwrX7fGsQUanZxhcig9DR8dJss6pjoxXYG82StwHMBjTxL9kqtR8WEoMZazzCrxbwpNVqhd65GBNRNtLyk84RiSJCa61uZBbJjV5PFq16eHTzwxq4zLtd45ucqMSFcD4KNMC7JCRi8XocsG5qPMCtcGFKYTve2p8Uteqq16p1oeQxyYnwtbBGUG76kfuBEfkvoHCo7mtdQhk1TeZGvtAiWie7aJoJXMRcy4i7ND17e6bEqQWqw2PNgEegcdtQPhwg1NSRTFMhVi9dUx7dWKLizaXZHz3vxnv7TCDBu8fCv7EBkwHSDfVJYgBZtFNoobyE52HkUvdso214QRZniWPvFutesHYPadSzrQbbVmc
 ,0.028,0.040992,2JiypQvUUY5mtKGjJrXrXkmvtCiSXtEzQspPNbRedwkGLdJU7uRfdjeECcmQcfq7XFMvdugDDpPtc9ko8T7ELfQMTbpYumWhivdWpjtGe
 ,0.028,0.040992,6typ9L2PouLc7RpCWkbSkpdnnKiH5gC5R1rtRz4peTLJ6EjCpPeaP91hhjnvjVLpeV9wyKxS5KY8JRzkVhiECDXFQzgEPXUXbNb9rxoqzAzwSDf8STHLiYdfMGaWadMZRtchX8AUcaCj9fNi84uqic9j8cwBCPxoVhzV7CVD3NW5BJwbTFvJ85USQsv9d8yqQyhmLS1u9YRknmetv7kxJ1qbtzX8iANn2NKmtUC2NZ48n7JdTKy7Ta4bxAmXq1HNbdiivMk1uWX4hNPG8XTD2xUDAP2WzWKbCZTnFco6tERANPsdfK8jiKgzh9zDoiBtL1Gwo6F6wg8bCRFAVW3st7hberojmuJBD15dxzg1ie1nEBnEJDkN1wtF1UEDekWoCmRyhbL6HDQWTyVtJoNoNP89V5B8FBdLDeZz7p5GpgCiqWYMQ24KrbE5yqruA37n85WYBgJ9fr49u89wDneYjWUZvcYQ4KsmDB1Y5xswuWqqYJLT35qBoz9UpXiSp3ERHEdD1BsPNQncZcncHdKFmbgN5Atd5DfEmBCaQfWzqUXQQZjKs6bFs8a1NUoqShwz2Toqy56RYxso9JEpzqPdo7q
 ,0.027,0.039528,EmDN1JCMGm4LPGdxRjtFiDBdcr9jXqE1sQoH26NBqPuM22XibRUPofi29Phbw9i5ysauHApxPtWYXDEDpYsNPcoPCGcCxRs4hGw8J8zPvuTuarjCzF1TgzaRk5zdqRZaQ2oy887isW6HL5V5PnXthtgiNrqY4utreUoRyu6sdtoJzweZefCp2MwoWwAyQspeDZN9d7szF2a4fXm4FK3DqtqHMTig5K2maWVhVxLfvgUwc9H2pifsg56Y88LdfMeHh8Yx1jKWb6wYcKxjfTCZShKjHAgBK5QVNy7yrNkY5ore4QpyyFeSGEVz
 ,0.027,0.039528,PHfwM3BDdcSPcaDoP1JU57PQXX3jYScKmJ2suzSCsVua7Leo6xnab2SY8crUUQjeWehjCLUmnDJSNTBRP4TmsPfRxiebM1psgjymYegtCr8yiN4Q3jF9vhk7q8FPrw5H2HRuBCngpEjDSodGMnXqrUDKQCD6CbfXH58ZFmonsonpG6E1PZj66Koa1fkDMeJhmQnZFukqD8wXdiFms8peotcQLt5HnC2iBuhGGPddE5vYaV6RMA9zVV5nFD97JYgUXsj9yNtJn7vPU3FyhVDj7JqMKh7paHywEoeh4DNBpCwajtx4QUH98iq96KKy2Q96eScvxP1Sitpf88KFTQRY56Vp2jDHFqdmWBA53vJkDVK2ykL3CTkLSCJiGDZbL4jQqnrDaG2EkTUBaLvS3kAmgAXVZD9fHqAhVXXk3gWCQRSDK89hUARDz1KangbgxXWHfhofthCoELNip86tgAZ27QKdFG3jSLNTNHsSTifRHNY2vNqxrEtMddCdmYU7Atbn6yzaYu3SXpSeZzuZ4VhYWt8bhQqN4yLKgHR6EhaFSHtim4xxZyKQDWsjS6P1ZTXBYWtRyzeydrMWRjSYWaMDxk1gg55Gt2T6tvWmN9RrFNsm1T8QrGW3ka2DnHw8WmVNzbELcyfghxN1ajm5Gn7Lj4ThiwDeyQBFDMK3T12D4FnbeQK98H2sF2DB9
 ,0.026,0.038064,3sSMhchm2uACHJWENJP66krvaR1HAwvsz6N5SZZDWPka8ktY84KTY5D8EgYmNgFQLGEmd2B3Zvp6etDSY9gqNXSCNjDP1qabSizbrjjXjzmXnic4Q
 ,0.026,0.038064,7uQ7MoQgMkyP9RxB7cfAAtZFWUtuWGEWzskvUq4ZxEvh4nDruTmrRQejoBbVmZXirMTmG8Yxk3p7HPQwzziugxxXrQhgXP62k6jrz28xXVz1bNJfACUstvozRNBzcB5MuX2RYMoE
 ,0.026,0.038064,w7hVGEBbKGCsm8JZExvyPoZUNmfZQGnUwSgupJtjyzwnd8x32HRJtKmHAMDq6hXTHkGdzM6fdnPTvFF8Uu2VZbnp4mdHZSK3DRUagqB4FCzt8mt3a9REqGw5HDYQ7HEpd1JRyTv4VdVP4onyUhhxTHvq7vnT5GrKxFPv26S3ZDu
 ,0.025,0.0366,2eR9oDmG9onJa8DfTAoSMZUXWQFD3iMhsVwfykgdxsk1DkSn56MK3tsWkW2ksmzwRyBtbJnKwcRbz26RYTnMqUm339Mcrj9CnVmuPjEZtMgNZ3Y3otYSvQhwCKARntn9QpBhofQixQi9iyNFAKqrhyKnYKpbJRFMCCRU1LiZkgPuoTPZFd7h9pUbpSMqjjq6JyFaN1kEZUpJcm25LpbcDyCZvJAgKbQamgVGtLHkoztxmFFx9m7KRYkozMfmRNt1wS8ACAZeKp9FNDsRLsmGoA4Wr1DvjJZKLDUrYha3zjzsF47PwVe6hA1a4DBC5nTjMj7UW35KaPXKMCDkrSjCvPbn2Aar2hMBmzD4bMBA7FufKTveHunXpZ7eGHL2kL9CdufLv
 ,0.025,0.0366,2eR9oDmG9onJa8DfTAoSMZUXWQFD3iMhsVwfykgdxsk1DkSn56MK3tsWkW2ksmzwRyBtbJnKwcRbz26RYTnMqUySq8k3jW6urm72Fj5Gxo5CEQoYXrPv5gmd2ZmXh3Cr1zv9antsmnrWwGtNwZpjUbxViPGqfjutd1b6AdvBXgZ4rD1JUup6EvSmfNB4GoT7AKrKQkzGqtqLSdTjQmjjCMTm2pWFCxHsjWPy7QRAbVnW6Yei2cEp9djLkqBK7RqSjVha1JZZVDRcCtz1Uw3FfmFFeiUi8cyJYXZs6JuXeSD7qJWqivxgnHhqfDcLHentnbaCfbL9u21YFrRPif9NH9bJ2Bp5BmMNfmKwimdK1UbVYFdFzHfGoa5bG6cuJwMz96WpY
 ,0.025,0.0366,2f7SVxtisoRL1YcJwGUzPgqsB9mXmy9NiH7haUcR3CG8ZidJPASqL4jgunodd6ynLYKa3WKcAV8xM5cbLS961FsRMxGwbW5Ys8b8wmHSzawkjzkNvf5EmZGe9f66TDR8XmrzTZtp9G3bZ9CCjKcyeAHKYMbvB1gEiUwcfpp5mfZQ7wyoAGHbGiQYurskvDmfjz1xmCbXrqVoxA
 ,0.025,0.0366,npHuwGxoRcsYC9ifPdyEVJwSWFYxEpWBvAD79JhzMc4PkpzL2PMtLTfgYhykp9eHSHFrjXdJYajWkUHDqZwUsvFPQPaa6XU3ttC4ZmZs3XD9Xykv5Wo4XeMqkZwqQneNTTwNPbASYvKq7U9xKVhBAuwMZnTWycT9wVUgqphXGHbWzP6LrMK4sd8Y1GnVhaM5PjXS8R82eemYKrodG76L6VeZ3JjT3FHLbkdoiZufBH7p9JL58NVDsYjLAeadX63U2zQgKWKPfxZKMEVZMYx4kVvzTAGojCtq6kQN7WEJmzE4cYNukD82pkL8sbQLNbpvWGNL8aUiSkn3hfBygvQFrWJiuq1SedPtBGn1WKkQbRpLC9VQNTM1EBw3W7NyzikutFSGh7neCmw4h22JmsPmbnMr7U35wMSEJo6yPngf9AGvwZkNt5mCj3PBLMZD3pADRxovsyE55jAWy2YtBtxwC5tEohUndSYR5QBG2FngGPy4mZ5GT9YjFZdXdVB8r5BfHaE957h2MB3XefkvVWkqUsUGW7u6vgHSyScUiJYotvtjz5aYZWDBamRMYUnfVkcGPkwXbVwwHamkdrbvnJcUirbNGu7xZEo9737HzXqbcnwgFeVXXfwFrHfkqqc1TE4CzxJqK9n8itSn2wypUoXo8omXUGYizhFu3tsyZtyAP4TngrDMviSxffdkegjq4kqg1nYqbP1qq9CoEQcFkhqPiwg3pao3Ry5kj6AWWMUaf4DNoVXDGLgu5bdf94iHhSPwkQYSLhYqniVxiNeJQGniRmDG89NPGDpJGBjY6sTmwCDnawJDqeidCDnzBGK2VGdYKSNxgbEJycGCgSWpNx1d2QGU4C8LMyCokWgUSyyEQoZp15vpvaQtJvDo378ADLEF3pPgm9pKZAhgJMm8mev9SZbKyrd6bSppYCo9gth1PTaC4tTbuVCuL2VBnNF3VNZPPh7FUonZB1oVXwfSfUh3ytnrErW5n54sv1nZdWvdWBWubJuTzrhP2m7k8chJftozP7oDscJdFWKAnRzSbb8F5viDWB1tt7HKXE242qfGQctEBRGhEGSNXvzJHZUSBbwzUHwDdZCEoZAvCh1KwZmKKthMGbbqykSUN4SDzZgFEecDndazRkGq94PiJz3pmfAq9YFWFQaUmRSTuFskXpoywP1m9dBfML9Tm8o413zrFGRLWg1w7znuNRePyiU9WSHJ29RVfZP9nhH5uuZ2anxf3WfWGHa38ViFBCPRCn6QRqyKVQjXSRaFXhMfgrxCYm72rFDBVfF7ABgM5AgNyqpuRHkwq9pLJY
 ,0.024,0.035136,kjDEf9rkiUdBdj4wKiQyBmapwuxyxEbbuxvHcA3drxa1LY9ppsnw3kJg8E8e7LKNXPYbFGmb98zw2KdfjDCEij1DFsXiWcw5ig4Pio2Nd7E3E9hHDEvBL4Kxy6rfBAySJxDaa1PUAgYXvkT7hB8hPuk2uAgnpy25Dx2JUbm5NGhUj75T25RtR8igCwxeUq6oq7YeJ
 ,0.024,0.035136,S51TYRCSzRVMhRkLkXwFqWZYB1dXi4WkaS1WcaSQKQdiLSQgAmD5XRYtHwjtJx3L9DdYabNG3d2Jz17wiWw39sDnKWcDy927gZTymyqxJ4ejpN55dxbUnckYGFQuMwXUwYSdiyx5F74kUzrfAJFMRSBevQqRLPgUrXjx8fqHu2TsXqAhB7rSaFz9Lbe3SpFDMLDrusEba6B1wFCyq8gsgorUhXAxWQnvpxunc2hgTtkmtmQ6nvBQWsrDW4fpbfRs9riYzwYAwrLksMhiAyVGN2MLgH95v31VGGjt9TvTd5mWrhJGkJnWUTM1cd7rmtryfJmRvtnK488GoK57jptBC4aGWZDG6bwm6imxXU8MwzbkmKH2LQbK7zPSPH2Mc3YBJLnq1J4Arp3ce5FCJC8FSQFBvZoVg9U9zCk6f5ffNVXDM3ZAcuQCgz6Jro9ciy3PvpjkMyohs42r6WVUmYpyUDC29
 ,0.023,0.033672,3DJzSaARcNLwG9tixh4m5jkjtnyKpZH8rWCUrgSFJzQSstZWNVojZ4XoXnd9qBvfZWMhRuW4rE841UPrWdUggGT5zbP3k2ekFARyWFWkciQeWTJYcxJUdeS1nn79r4c5E2foLT3oaf6RBfEeBuLQUMdmx9XrmSwCKePXmDfUHyN81wrkrfpjbPtmSMHZdzDGkhNPc7vHmogttzvur2dY49RZvZLG3Pb9VmxKWNtxnrLsHYF481eL8D3Xut1Xv4Vgzy3yspCcYTeV427Yx61TeV4kJXwr7p6waDJBNTFcSuKBhyP5JjtA1gMUfBj7WTuCvUa745jMD8eGfWne5FN6ULeGcwUk3zwMh8sLGwexvSec8bpEAjB839JE2scb9ux5wSBHCPSKHfSr5jKfMBzwvJPYyz18HWmSGG3g7oWpQ7MiCzVGqt8eZGCBjew81Q92zckCanzt6PRrvTzZp7kVnHgmoPWwiUqmtfPJgijNzE3yBQ76GdgRBr4Vh7MznA4FtnVkvukNhvcySFNq7XPUMFbNqfWwoxthV4M3Cw1YN8v8k1hdC
 ,0.023,0.033672,3pyaMZRJbtRcrho2Dnde59dgo6mbNVv54wCHz1AVevssnztHgKEA8Xrz8TSBiuE4jK39UW68KEM24pBEz49U84MUHbHMvh8eDJeBCpd5C45u9k3ngggNx2DavrVLnhpKmi6yw9RQZpCRSV3BzyHY3RCbSG6tgMAShTbGnWfbbMPsFkTmG4D7qoxqeDfaqg2Ge2DErMMeS7Hq8EtnU6SxLNqFPvuzAH2AiLcAVVgNBd5pNNvDmEuCqjnnASWoame3La4cToxNpph5fUtpbVfjNCVdWaZP3ShLUZcoZvkYg4ngGVH9jLpTYSUTPvtURKRoTsmGPCtf4kDcbz1U7H7c1niYPztcxUkUPtSTsRddQ6nSUYpMev4YgkYAUd7XteETqw6UqJWEcRpiXacypFggHEKWkpWjNG6U8vmjqrdj8L6zxp8Ryi39vVSc8vPMSsXeqSLiogG8SdvFcp1AFe6eQt4htjcikWt1bgfDNdZ8XkLonKXs9E35CzykN2EpBqcDYKiEMAMPQjFT326cdWMg6bwmuZeaz6yzY1H3iH3vfyph6uGBcVVszFUmL9YrGtv7b1Kdrwe9idYaBcz22YPx6PFN4Pv3ts9Ss5s74M9xSPWYPynf6GV5zoEzihuHE6ty64YX4XmuAWEC2k2T83vnkFXbiSMEMC5q9294DEu1V6vosHyKVpSnvYiHzPKtk7eP7S1CGUCeJeNGAikKLdf2sH7UVd23TGb9YGaRCGTotzdUBD3mwGTd12g8dF9whGkwvNNJdZcLVNqwbnVyaKacJFwmGbT3dS9Lp7WS6wUJpoUocFW1CmE8Z31yrJtbEuAejuWMG4YFHpjPjm9y6rZ9ZERevdSQRCwdjshv9VR4WqwLrzfRNAjePedUUJ9K6Dhwn71wtCm9U9LcTzKt9htCUdXzYiG8GLEbST7K6CzVMuhfgo8qDxCz7V6esN3m3muYwx3EtngwoXCPsyWaYToLRZvMPqRxBryZdz11jvtPvVCpnuk8hTnp2yJSLSRPEyoaKUyiEu4qB31B5V9qpGs2MVPovTpRAVLcipxhsSRdMXYvXuat1FaPUthRQyKtbxiHg9aXJivvQAvCPgNLZrHuHudUiwGSvaDWgdPJ4KzYK5DyiD2ENZX2NyWU1ZWCu4vMTJudSKYHefVSu3yXeLR8TsLP6k2ackrM4wYBTLkiZQyxTeKCFzMyPSShgPxjM3EFeXC5vyNqfHDgogHPrGJp8tPdGkS6hTdV2CAJj4SDkzWTsgwrTiY6uHunR3DSg8Yvh4BPtq9hTGtpQuak5vv1h1x6Yma6JtyVBdyqHnj4aACFt4bYxJGKMmekJA7Lmx8JgrgVoT6qvFNNpGGqAmuaVXBZp2rPAXiAmSHuoXNakEzb1XCqCyq2s55QhNDmPNCfQBB9CUWC5vZZZyA2CjaWxsJb2GDXPvCPgQRhBtqUzCu1EGjytPkbgkKjFQgfBqQZboYCVGWP3PxDj2QMsuFAHWdpFR9LBDNAnPRPYYCyHJ7PwRcg19WZxxMeGtsZaPV2hM3NDWsY2wH149JyXfb3jEM8S84oeADQQSuVZz1wzJrVGvWQJRCvzTVBrCpxv8c3emvA9kWZWCMYRExShPDpsDnCqo1TGdndtiY9NvPcxgGX8F6sWAkhg67D4hv94fW5VUQ7PtVdUyKaLA7o9q1GgNN41k7AgwRBGMMMJZA3hto5URSCgwj6wsv7rhBnbe9ze1TJc66EBsyeZUS58TXbtsT8cLAfHtZTyVzCsBxRhLJqsYr67ASdGvHwdSvEpf1xNwB9yKGEYZhU97YZUxV6aqaGHkUHr6iWpuQn3LCrEz5ZJMusj38YK8nkvQ78z3CJfTUAysty2RvTSBKr6U32hAX2vGthsiLxPgMPmc1sD6f72tjuq9NocCoLYf6vN2H74BTB8GXbQCQ7AbEVct8GryNdgG4HHkmRMUdbTCc2iKgZ2obicR3jfygHguaWUBvZVeZp64f2cTRihfdKhGMux1baUFXVdo
 ,0.023,0.033672,Gxd4hMRT68N7pFF26AXgMw9FumQDStX7jZMh7vXcEYSxEGsRKVTKZu3FqHALkkvQQsai4RXfpoXTUaXFcA6husdycKQEdWE6gspTzRbMf4BGPDfwNpx7NNZeM4qCsqJGroFCagzff7rK2efEfJJUaUozBQTH1s3csh6PHad6fgb9sbihvHStDP4w5mf7Z4GHBoGpFQqgXVH5cu9d1f5AvfApdQyPnQrGNFQzmws2i6a1d6RZj1KDfE6kY3gyQeF9eGgVKSPEEF5muaRQLwEv6BBMXZnozNLdbiLnVRoAUTNbPZpEpDfCh8j3uoKsM98XevU1RjJskNGT8t46rSwpMewhXnTNYU3BuLhaVjb94P5VyDcB3w6T8EwqjUDgMdCEFY2ufAtPkD5M3A
