contract,amount_erg,amount_usd,address
 ,3325.022,4867.832208,3STRfQkJvGgMQ9JrSpvAwMPABQrRidwYCCPadHtzHcrpyUJBeA6o6Ua3fb7xGr5z4Cxhp56oqERn8H97ewp1PPemqDEkqM3MQ9pXXhjHnxJEayFQPdobNB829duPZeRj9zDRKTHQ97tEXFgZwCcveDXMQYdt4w8rYm7SVURCUK2PimkM5PgvaRT7DdxjVefGGzcHRXfSyQkUSWrmJb5mUuyPz4LGSofRaksNZG7yKMtrBqDniG1KfE5cFZhMEFRnUgSBnZqn6vxfzXtJEFdhdJPemg3XKKDAoAiTrcsWgbTzuoqDsu3MCm54fy4adVFJG9E6ENujSrW1UgYt1c8uBbJhqMZDHPaBRsECWd4cNVb6Z92T6S5zgvLfwLs2rFvHmfTA3NsW5
 ,3103.1,4542.9384,8D5yrk3J6uxm7L7dDs8py4NAigZYo4znAqEUx8kN3ERM4yDoRzKKUda5zY8vnjpCjx3bZFVYp4Cz8y4Gbkr7VhWgSXwtLZixzw4eB41FzqNFS3PM2Erf73kLLyyCf1BG5di7CY7RDW22KHQV3LNc9HFqtGVbNfmzf29XWTDGBiMhP5phBfRN4VfcUwTnUPMJ9bs4oa3D2LJZNRMVnccJvxmVUWSpwZuchX91Qv1B9a7zpS6dAed5WHyt5NzKZAgfUjxf8rHaTN6yT3QhekpxRqAa33CFbDMZLeuVqrS9B9CzLRttb8f6bmDTMfxpznmftsXRw9MjmbtxTNcNzu4u369Puga2J1ZcM6SGLeuwqvFQLeUgLHNKVNeFncfT1SW4FYCeZSXPBfQ75zgwE5csCPiM1vvvQ8d7j77XwoNnArjt19W23uk3Ki7vm1TV5p8Qcbu4YKA8CTZ8tSGQKB68KQrdavY7G5F7D8bC527AYhE2GdDSACS9MvZF2YWnrzepJNMyQbKU7diX3grR1bVaX6RA3NwTGtK6HiYZNSQWdXUmsbZ3xX7xjoqWkSDFw
 ,1645.696,2409.298944,5t19JGogcry9DRipPNcLs4mSnHYXQoqazPDMXXcdMixeH2mkgzMvWXjENsHRJzfHAFnTL5FBDHQCzBcnYg4CU1LcJZMmUXAaDcsKdgfBk4sE9BDbLt6Yxkjh6ow65HGCgxkwNAEArMAz8tqZL7GzKx4AvYVkqG3ExKggwDyVrvx7YzN8xeFtEUcnVkDKM8ow7YWW8eee2EidfYArPRd8fxQr5EuZVEiQbzKZ6m4xgtHfhsEptE3pNdt69F94gkytpounxBYpJPqfeZ8hVxLk8qaXTGFiJTDTt2p9D5ue4skZf4AGSLJyuzpMkjdifczQNc784ic1nbTAcjL3FKGHqnkaVwnCxU7go45X9ZFHwdpc6v67vFDoHzAAqypax4UFF1ux84X5G4xK5NFFjMZtvPyjqn2ErNXVgHBs2AkpngBPjnVRiN4sWkhR66NfBNpigU8PaTiB4Rim2FMZSXuyhRySCA1BV8ydVxz45T9VHqHA6WYkXp2ppAHmc29F8MrHX5Ew2x6amraFgvsdgAB3XiiEqEjRc83mhZVL1QgKi5CdeeGNYiXeCkxaRhG3j6r1JdAgzGDAQfN8sdRcEc1aYxbPfbqM1s81NFm7K1UmMUxrfCUp73poGAfV8FvQa2akyascKBaSCqvwuHW2ZP4oMoJHjZjTAgQjQF8cBNF9YLo6wXEtMQT5FYc3bHSgd4xZXCk2oHYjUSACW1Z5e7KZ3Qw1Sa2UvpMdWhbZ5Ncu99WT7v6nHFLJvHEPM7evr41nhCe9Yt3pAq4ee4rKCtEer4vQWq2b5UJSDXDj5VkVepQ5tmeXfXrBc42Yqucy6VeQSE7W66o4hQjwW1iN3yipmdTmpaAEASmbXwCxRSm7g4sNkfA969xo14PZQpBY3QUGqgCWoqJJVFWMhfvD53rzfgJpA4JH5B1fvY99q5iwbsAKdJfZi4fxub9QWZSNQfht4JqXMDmc6XTkWLE4VCxBRQYzF44H2E6mdf5EbZHUrpXj5c2VfC6PZGg9qmrz14aZjafM4M7kRTqMwVB8R9r7kXM1FWidGoprp2fRoJUALAKxKDSTVHX8ejT8zkSKJ5W45dSQjMe3WUDTeKhiy6Fqio2ukV8THaizTp6yZWxMVdu3a15pGBv1kmXZJEnLN9BsxyhnW2iGM7tvwK1jAneXeBH1uVdusR59j5ubCGKeoaS5ToC8Ky6wZ2iCyb2JF5CTvR4sMUg2ksmUm1dk8EoRjJ9i5gkqY
 ,1164,1704.096,335p5LAhvgYiQJRRYgWxkpmhRxfDn6axj9jSzALE2HN8oWgaChxu9iBabSp5wtrTkMVok7nETtmnrN4fGPbxbYKU4ypAJjqBe5HPfUqRBSKCKz9byMJ4BgmpKSCBGYAZ8FdewPVJXtV1FHqqKhvmB9NMrZx5VgzBNYeuAm831dWnQ2gGRyAJWSypzMGviLPi5emFFB4K2u8zeGkoox1TAxWLUEsvmCzd3BwAa9EM5fR882Vw6W2Uojtpw1RQoPK5yoUNJwWjMsryL1nDtDUdvsDZxhA9t3B4UsgZq4ok7mdXyMB1ZiaDSbYGfVw1D4UwzB3MrEsBMtzGBAbxxtNoK6voHhkDGFmfp72tbJtzuXV
 ,580.16,849.35424,AmKv4QESnH4q692z7zgajeCDqdtiXB6cmavLJcSG5KcCFkJvFL7HRJeDEew7yrzhwTa8xnWyEye91P6FPXy2F3WYXEheacNX5Z4suv9Exx5bgBFBarDU4S86m6Wv7whjATfNQ1CNoUDf595uisZxWrW1PkV56p27UNCjeJmCMMQ9pUHPGWp8VFRXPxf1rhc6Wvb8cn8W6QzsL4MJC5YBQ8Rx73JyXbjjjxjKfZnHcfDmpruZWU7nNCGgaSwut1kjqoxbg3sfxNAhChSUeZ4RKekN2oVAwaCoJbsapSKabNFeU348HgsKCHscezCZsrvxE9LUTxc9SB4gaocKiXu8mzMYCJ2sAJYiWcqvMuyEfku3CUWutjaA5ZHFvvYCoSKeGvDofBC8zJqK6tF99MC9JZJfFpTokaQN4KRhu946DA7DfUhx8spo2WWt9vpDHj7q3L8piZ1oZm3WALF31nmj66972rQc5ReXtpQo2G6BQP1UWRaJUjKh9ydruy8TZE1dsMCHpii6WzE5ekfzDwVhgfSqygqsEFcmTULTBJp8BKtLxUcUef
 ,507.113,742.413432,2JzCf7cy6rZiCSj1aZ26Zxn3kGrVPHXux4F8m2PsvSHCdXpZF4ndQYpZCmuezQKr6aoJVeiN86JsZz1YZipu7CYLgfr3tvGh621brQub1hx4BaSfNfqYYvj1Z6i1sxePBZdctQNArm11uM9EBobmMeYXXADbBSQTnMBeTedrxv2TmA7mxa4PD1EtZQJiDLmjMTAxWFwCJLn8N3SHXUJfRM2gEDtzEEyJdGrGmhXxfww4XDBRLnqcLfKL94pK1rVKBHfhERJgFaJvXuWJybBV65YFiFF5ABRDEkBnoaHC1T1wCBt6zHHzMZMJy3q3XinbMtGTHJ4GMMuBUzkAi47iZYxnxjERPY1fyEs9bywagSP3AdtGFD6qLEiLshkhv7VmgJLcvsQqEHxBTQVdEekYuiUAJhj9bNRU5b12zTh951Ww72a3HVuFsss4SKQjtFB8gBN1WrUwQcw6NJyBWwfSCkrqytyd6NiNYkpKyh3Jo67RMRaFJFnaoPHu8TAi8WB64ja6BW94Pgbappjzf7kB2wLibSfzpyech4FmX5jE1fKATfYMBD1YMuUZ3GnQa7XCBqhPxm8fqXe8z7utx66TnYRAwDrHpi1RQwyt2VEv2ZwQEd92oBLTwBuZ9tYLbd4vFjKPtwh6skT9kd2Ewcbx6DhG39Sbv1HbrJYUgHDkzWV6fchUmhcNNFNn72kvmom2qBs6YZodBXtKafUidMkkNmQCfqkrV63BrXthvvcPNAfXvL1RFuj9W3X47TehmLEA11ydBvVoAWDHt
 ,349.467,511.619688,SA4yh8Qbq4BWhNY7ExD6uPiH5GxjiJzRbzR3RxMUJjzLsVHMeJD7hpzpFpqMTd2qJsvhbSan2bn13BCCnvhYsii6cJ3cFSVQM2H8ZmVSfZPcREtkyuMVyqtU3LmFuydoTjhNP7H6vgb376b6jLfPxvxJ4gNUptWxhBqXnZ4ZHdsgtcVjJn2P5KHZDWm8WLKaVMk9UmJjxTUyh7tgr5FpuXfe4SQuTf3hGmhCyfuz41yQeXsw2zPXTjoemq5Pc8Wb3Z7Dnq71mhj8WPS6wSJTW2fwkDE1nCrthfpX3RLUKeD6efjmZoNM338BjfMdX9cNzhS8bRnNL4WarAXBbJpZLqjgzTKT9QQiKggzMaWEGhE9pn8VwDJr4ezuL349cW2xeYwPuwASesAaLcjAu6LQjUyXShs3KEjbavTHvR1zD3dxaUqnAk1ZutPR6N5WiFbkEa2U9wummMzCQJ3jc7arHfSY2EhrW4qo4HZm1ENM7rdJQizLSFEJT9qyV3HMfFzv88ZZQ3NSUaXDTnDzLe1CuCrHkoqUwdmcBAUdtkPPp5cqoh6vsEYckUq52ne95vyoi44HvyJq3rcc7ur6y7MgAfmM7nZc4ezCxo6nEFrQoFkpHwYrdoTsStQ2fPfFePi3dVKRKKnAQR8t884cCNpS7XPoYgUhWiV2RkwSQkMrKG5btfG4DybkzVLWqCSPUG664YnpWx8xz6SXgL3x26Y8vkJoMg4F8sFvhzUT9sABUE3uxhATWDq1jQ3J5voSqN6yi5jXqTmJNydP5r2NCRYa6GkP4zU7VePDPtEDhUM7QvRAxCJ3LMMCMA6zhPXEoGdh4GwbHbdSCCzBX6EDkev5HJWotGyVipZVSTXVC3LykV6FrumWQ9MSBjqvogTJcU3QS7Yp6pNd69pYu3a8dohu3ajAkEGygo7GjcoT4aKPDbiozyRFKfGGuiZMNXhr44tyUBRiCuN8LyRKByd81vzh4VcTNRwEBchB89qifd3JXFaUUsbKBLn3hYy9qRfARa4MLpJwE159iUaxF6qrEFYvW1XHPPDUFNuJhzpUPHDaFdWvj8RLT8hpcmQnBUbFWuBS26fjVS8ZPbiUPxwrnte6tvhj3skRSTLYZJMcuEiDyTyAwSACWpvXLjaSybCok
 ,285.993,418.693752,r5tk3k7ikzRpe1CJRy9xKVmvMWYXmN9BpdPhWizhbiAAchQdGRg2Axc4aJE13WBWnFkCMoboUndrfLty5xLmVm45P5oPUS4sNkNWPyyGP8EYgQvsa37ZGTYxf8oZxfV4FVrFdiAW2oNXAGs7oi4jq8umEi1xTvvjEENHdgtfH4yDXb7pVpWESEKViyHeKEnohQUn63qM4u5ZVP2bcFJZG31gRdE1Ag7VpND3s3a48uLHuvhHBXgRpZH2Nzoz8NWP7FQjX5yymPaVjQ1jUaesVJxWaX8XFoUpesmY4rtX68ZKsSFo1gTkXdKkZGVkWjEt9n33UVS1yKbLGofos4z
 ,267.007,390.898248,C6jFLuMPnNuVyxyapxJnRdxeXQPrYpRwAwxcoKFxxFeiasdeo2ysGtDqTHFEmCkT3eJEsWg978TrWNpHjQNVX2CW7WPR6Jm7oPZM2FX4no7yqu7hRSSieG9y5cyVb3pDX6oMwu9NDQPKzteZxM8dT2FmCWLaAZRXPL5Tewp1nJ85txMD4CmM5Y2ty6UtScfceLnuDUfqXq4T46S5zEfDi79HBM1o3SZ8t3MaRYLkWtQXFqaaGcLUYvUJDjBrJzs6Ykf9tfGXHLNzJdbCpZxU1s2WbpohVf2ga5MKzeQVtku1hznEuSPHsa9thZrst2THypX5jPAn5D2G8QgerR4kF7kMV5LV85myz6t888pxQJZYG4sJJhAVknTZBSomhTpfdQrPWmPR57iToLP8BBJusqWrYmqHmV8Cgb3sLgQdUGbkgCasGtKh2wKjU1QjmitrFPiBiJSNp6qdFK4b6kfFDih76JsE7QsZU2tUGDfSrebtMbqnq1FKytBV3ETYWqgxSsrUg417apt5xH4x8EVQh3xcdi93pNcmoxzHvwDZjxmZLrjvDMHP62ZG3kCkxX9CHQWYew7VGFK4dacWmKFGHSp9m6KmoZAhDofdMzqBGqcN8Cf1aDn17nWTVBD4s69haWMsiTCCt68W72dhw8nY2ntW4ydQcXhU2ZBWpLQ3EggGuj1p2EtcWkszopLMxYRb
 ,248.179,363.334056,nB3L2PD3LG4ydEj62n9aymRyPCEbkBdzaubgvCWDH2oxHxFBfAUy9GhWDvteDbbUh5qhXxnW8R46qmEiZfkej8gt4kZYvbeobZJADMrWXwFJTsZ17euEcoAp3KDk31Q26okFpgK9SKdi4
